,name,address,latitude,longitude
0,Vero Cafe,"Laisvės al. 45, 44309 Kaunas ",54.9101749,23.9298958
1,Green Café,"Laisvės al. 80, 44249 Kaunas ",54.8970153,23.8438864
2,Green Café,"3 aukštas, Karaliaus Mindaugo pr. 49, 44334 Kaunas ",54.8970153,23.8438864
3,Kiras,"M. Daukšos g. 27, 44282 Kaunas ",54.8970153,23.8438864
4,Caif cafe,"K. Donelaičio g. 22, 44239 Kaunas ",54.8988164,23.8490834
5,Vero Cafe,"Vilniaus gatvė 23, 44260 Kaunas ",54.8965827,23.8213857
6,Her Excellency by Vero Cafe,"K. Donelaičio g. 60, 44248 Kaunas ",54.8965827,23.8213857
7,Vero Cafe,"Laisvės al. 86, 44250 Kaunas ",54.8995904,23.8424058
8,Vero Cafe,"Gedimino g. 11, 44318 Kaunas ",54.8995904,23.8424058
9,Vero Cafe,"Savanorių pr. 441B, 49185 Kaunas ",54.9295799,23.9008829
10,Habits,"Laisvės al. 30, 44240 Kaunas ",54.9295799,23.9008829
11,Vero Cafe,"Karaliaus Mindaugo pr. 49, 44333 Kaunas ",54.8972399,23.8482804
12,Vero Cafe,"Vilniaus gatvė 18, 44280 Kaunas ",54.896404,23.8181783
13,Kavos kerai,"Vilniaus gatvė 60, 44289 Kaunas ",54.896404,23.8181783
14,Caif Cafe,"Uosio gatvė, Dainava, Kaunas, Kauno apskritis, Lietuva, PC HYPER MAXIMA XXX pastate, vestibiulyje šalia informacijos centro, Uosio g., 50146 Kaunas ",54.9151814,23.866323
15,CH Chocolaterie,"Rotušės a. 26, 44275 Kaunas ",54.8972937,23.8147132
16,Caffeine,"Vilniaus gatvė 3, 44281 Kaunas ",54.8972937,23.8147132
17,Taste of the mood,"Nemuno g. 30-1, 44289 Kaunas ",54.8972937,23.8147132
18,New York Café,"Maironio g. 20, 44298 Kaunas ",54.8968405,23.8376778
