,name,address,latitude,longitude
0,10 tiltų,"Turgaus g. 19, 91249 Klaipėda ",55.7142302,21.1374556
1,Max Coffee,"Turgaus g. 11, 91247 Klaipėda ",55.7087254,20.9900438
2,Vero Cafe,"Tiltų g. 1, 91249 Klaipėda ",55.7087254,20.9900438
3,Cafe Klaipėda,"Butkų Juzės g. 9, 92228 Klaipėda ",55.7087254,20.9900438
4,Ateik Ateik Jūra,"Vėtros g. 8, 92278 Klaipėda ",55.7087254,20.9900438
5,Turistų kavinė,93100 Klaipėda ,55.7312033,20.9420827
6,Vero Cafe,"H. Manto g. 36, 92233 Klaipėda ",55.7164785,20.9847228
7,Vero Cafe,"Taikos pr. 61, 91182 Klaipėda ",55.7164785,20.9847228
8,Caff Like - Kavos stotelė,"Audros g. 6B, 92278 Klaipėda ",55.7371856,20.9492526
9,Kalorija,"Liepojos g. 27, 92334 Klaipėda ",55.7518234,20.9855955
