,name,address,latitude,longitude
0,"""Auksinis bijūnas""",35190 Panevėžys ,55.732661,24.306269
1,Modestas cafe,"Nemuno g. 79a, 35251 Panevėžys ",55.732661,24.306269
2,"Kafenhauz, kavinė, UAB ""Žaliasis žiogas""","Ukmergės g. 3, 35183 Panevėžys ",55.728225,24.3276398
3,"""COSMOS"" kavos kokteilių baras","Laisvės a. 26, 35200 Panevėžys ",55.728225,24.3276398
4,Kavos Stotelė - Caff Like,"Parko g. 14, 37310 Panevėžys ",55.7338836,24.3014283
5,Hansen cafe,"Nemuno g. 79a, 35251 Panevėžys ",55.7338836,24.3014283
6,Riverside Restaurant,"Kranto g. 36-101, 35172 Panevėžys ",55.7364223,24.3253407
7,Kavinė „Rojaus paukštė“,"Respublikos g. 4A, 35199 Panevėžys ",55.7364223,24.3253407
8,Berry cafe,"Smėlynės g. 19, 35143 Panevėžys ",55.7364223,24.3253407
9,Irtėja,"Respublikos g. 4, 35199 Panevėžys ",55.7364223,24.3253407
10,Piacetto,"Klaipėdos g. 143, 37385 Panevėžys ",55.7294086,24.2720845
11,Kavinė Kranto 12,"Kranto g. 12, 35173 Panevėžys ",55.731946,24.3251878
12,ŠOKOLADINĖ kavinė,"Ukmergės g. 18, 35201 Panevėžys ",55.731946,24.3251878
13,Kavos dėžutė,"Laisvės a. 15-18, 35200 Panevėžys ",55.731946,24.3251878
14,Julius Meinl,"37394, Vakarinė g. 61, 37370 Panevėžys ",55.7289188,24.2781745
15,"""Kava""","Laisvės a. 6, 35183 Panevėžys ",55.7286063,24.3271747
16,La Fa Arena kavine baras,"Klaipėdos g. 79C, 37106 Panevėžys ",55.7282333,24.2971191
17,"""Juliaus paslaugos""","A. Gudonio g. 17, 35235 Panevėžys ",55.7226426,24.3087235
18,Bičiulių užeiga,"Marijonų g. 27, 35129 Panevėžys ",55.7403729,24.3234979
