,name,address,latitude,longitude
0,Caif Cafe,"Vilniaus g. 137A, 76353 Šiauliai ",55.9280675,23.2458239
1,Caff Like - Kavos Stotelė,"Gumbinės g. 33C, 77171 Šiauliai ",55.9309773,23.2238409
2,Presto Šiauliai Cafe,"Vilniaus g. 134, 76256 Šiauliai ",55.9309773,23.2238409
3,Saigon Kava,"P. Višinskio g. 32, 76352 Šiauliai ",55.9309773,23.2238409
4,Coffas,"Vilniaus g. 136, 76296 Šiauliai ",55.9310276,23.2438378
5,Coffee Inn,"Tilžės g. 109, 77159 Šiauliai ",55.9310276,23.2438378
6,Cafe Cardenas,"Vyturių g. 20, 76394 Šiauliai ",55.8869808,23.304892
7,Caif Cafe,"Aido g. 8, 78322 Šiauliai ",55.9081899,23.1880055
8,"Kavinė ""Retro""","Vilniaus g. 146, 76297 Šiauliai ",55.932163,23.2419012
9,Pušelė,"Vyturių g. 20, 76394 Šiauliai ",55.8870821,23.3048645
