,original_id,caffe_id,name,price,serving,plate_area,sourcing,started_producing,type,with_brown_sugar,with_nuts,whole_weat_flour,with_eggs,with_icing,lactose_free,with_cocoa,with_berries,look_date
0,1614240,58,beautiful secret,1.65,109,499.5,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
1,1712295,98,almond wonder,1.3,80,402.93,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
2,1708908,64,angelic surprise,1.69,86,117.66000000000001,ecological,1950,cake,0,1,0,0,0,0,0,0,2023-09-22
3,1712013,82,comforting choice,2.29,98,455.09999999999997,ecological,2020,cake,0,0,0,0,0,0,0,0,2023-09-22
4,1711935,63,delightful hazelnut,2.75,119,455.09999999999997,ecological,2019,cake,1,0,0,0,0,0,0,0,2023-09-22
5,1711785,12,juniper berry fountain,1.95,98,222.0,local or ecological,2019,cake,1,0,0,0,0,0,0,0,2023-09-22
6,1696380,12,raspberry flavor,0.94,68,555.0,ecological,1994,cake,0,1,1,0,0,0,0,0,2023-09-22
7,1681836,98,candied sensation,1.28,80,666.0,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
8,1710639,2,juniper berry harmony,2.06,105,888.0,ecological,2017,doughnut,1,0,0,0,0,0,0,0,2023-09-22
9,1710477,36,candied inspiration,2.4,104,666.0,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
10,1710009,91,fig pleasure,1.49,78,999.0,local or ecological,2019,doughnut,1,1,0,0,0,0,0,0,2023-09-22
11,1709943,67,precious charm,2.5,113,777.0,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
12,1709625,57,enticing desert,2.0,70,666.0,ecological,2008,cake,0,0,0,0,0,0,0,0,2023-09-22
13,1709523,20,mango kiss,2.14,107,865.8,ecological,2014,cake,1,0,0,0,0,0,0,0,2023-09-22
14,1709439,6,banana spark,4.5,60,588.3,ecological,1954,cake,0,0,0,1,0,0,0,0,2023-09-22
15,1512885,34,chocolaty blossom,1.09,107,729.27,local or ecological,2020,cake,0,1,0,1,1,1,0,0,2023-09-22
16,1689678,66,double blossom,2.99,109,452.88,ecological,2016,cake,1,0,0,0,0,0,0,0,2023-09-22
17,1670802,68,delightful cherry,2.69,120,566.0999999999999,local or ecological,2020,cake,0,1,0,0,0,0,0,0,2023-09-22
18,1426497,108,white choice,0.83,67,1398.6,ecological,1937,croissant,0,0,1,0,0,0,0,0,2023-09-22
19,1708278,65,pink spell,1.99,101,472.85999999999996,ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
20,1689168,38,special harmony,3.69,114,922.4100000000001,ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
21,1703796,83,savoury almond,2.9,97,444.0,ecological,2019,cake,0,0,0,1,0,0,0,0,2023-09-22
22,1708140,88,red kiss,2.36,80,943.5,ecological,2019,tartlet,1,0,0,0,0,0,0,0,2023-09-22
23,1708110,41,yummy plum,2.03,110,888.0,ecological,1990,cake,0,0,1,0,0,0,0,0,2023-09-22
24,1669392,112,cherry spring,2.59,88,222.0,ecological,2019,cake,0,0,0,1,0,0,0,0,2023-09-22
25,1708038,10,cranberry dream,3.5,115,859.14,ecological,2019,cake,0,1,0,0,0,0,0,0,2023-09-22
26,1093008,75,comforting sensation,1.1,55,299.70000000000005,local or ecological,2018,doughnut,0,1,0,0,0,0,0,0,2023-09-22
27,1341291,16,banana blessing,1.36,62,666.0,n/a,2019,candy,0,0,0,0,0,0,0,0,2023-09-22
28,1350300,2,raspberry charm,1.29,65,277.5,local or ecological,2018,doughnut,0,1,0,0,0,0,0,0,2023-09-22
29,1472322,12,pineapple passion,1.76,88,999.0,ecological,2019,doughnut,1,0,0,0,0,0,0,0,2023-09-22
30,1595916,105,sweet taste,1.69,86,888.0,local or ecological,2019,doughnut,0,1,0,0,0,0,0,0,2023-09-22
31,1695792,79,nectarous miracle,1.38,63,555.0,ecological,2019,doughnut,1,1,0,0,0,0,0,0,2023-09-22
32,1707180,36,fluffy blossom,1.65,79,666.0,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
33,1706946,29,currant abbundance,0.77,93,643.8,ecological,1985,cake,0,0,1,0,0,0,0,0,2023-09-22
34,1672338,52,precious pistachio,2.4,109,277.5,ecological,2013,eclair,0,0,0,1,0,0,0,0,2023-09-22
35,1706124,13,cherry blessing,3.4,104,277.5,ecological,2019,cake,1,0,0,0,0,0,0,0,2023-09-22
36,1705746,63,comforting taste,2.49,109,449.54999999999995,ecological,2017,cake,1,0,0,0,0,0,0,0,2023-09-22
37,1705734,46,tempting banana,4.59,90,0.0,ecological,2014,cake,0,0,0,1,0,0,0,0,2023-09-22
38,1655340,33,fancy pistachio,3.25,117,610.5,ecological,2013,cake,1,0,0,0,0,0,0,0,2023-09-22
39,1704912,107,berry blessing,3.45,116,666.0,ecological,2014,eclair,0,0,0,0,1,0,0,0,2023-09-22
40,1548603,3,pistachio symphony,2.57,52,139.86,ecological,2019,cake,0,0,0,0,0,0,0,0,2023-09-22
41,1704690,54,exclusive strawberry,1.45,105,721.5,ecological,1972,cake,0,0,1,0,0,0,1,0,2023-09-22
42,1704204,34,sensational adventure,1.5,120,888.0,ecological,1967,cake,0,1,1,1,0,0,0,0,2023-09-22
43,1584156,83,delicate juniper berry,2.43,99,333.0,ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
44,1703958,83,crispy sesame,2.25,63,407.37,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
45,1703826,62,delicate cherry,2.65,70,286.38,local or ecological,2019,cake,1,0,0,0,0,0,0,0,2023-09-22
46,1679208,45,angelic almond,1.1,73,428.46,ecological,2007,doughnut,1,0,0,0,0,0,0,0,2023-09-22
47,1703304,19,currant surprise,2.85,93,444.0,ecological,2017,cake,1,0,0,0,0,0,0,0,2023-09-22
48,1689462,46,sublime almond,2.08,116,765.9000000000001,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
49,1701690,5,apricot surprise,2.02,110,999.0,local or ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
50,1701318,99,black mulberry secret,0.79,67,821.4000000000001,ecological,2002,cookie,0,1,1,0,0,0,0,0,2023-09-22
51,1629774,109,cashew spring,0.82,88,712.62,ecological,1991,cake,0,0,1,0,0,0,0,0,2023-09-22
52,1700976,112,berry serenity,2.53,91,1041.18,ecological,1978,cake,0,0,1,0,0,0,0,0,2023-09-22
53,1700628,39,homemade chuckle,2.85,112,1221.0,ecological,2010,cake,0,0,0,1,0,0,0,0,2023-09-22
54,1699674,19,sesame spring,0.6,71,721.5,ecological,1981,cake,0,0,1,0,0,0,0,0,2023-09-22
55,1699542,68,beautiful star,3.1,100,821.4000000000001,ecological,2016,cake,1,0,0,0,0,0,0,0,2023-09-22
56,1699200,41,overwhelming pistachio,0.95,56,690.42,n/a,1947,cake,0,1,0,0,0,0,0,0,2023-09-22
57,1699140,86,precious kiss,0.77,56,1221.0,ecological,1974,cake,0,0,1,0,0,0,0,0,2023-09-22
58,1698780,85,light cherry,1.69,69,1110.0,ecological,2011,doughnut,1,0,0,0,0,0,0,0,2023-09-22
59,1698750,85,playful wonder,0.92,92,2362.08,ecological,1963,cake,0,0,1,0,0,0,0,0,2023-09-22
60,1116906,55,comforting chuckle,4.9,70,2020.1999999999998,n/a,1936,croissant,1,1,1,1,1,0,0,0,2023-09-22
61,1466868,25,raspberry taste,2.09,77,333.0,ecological,2019,cake,1,0,0,0,0,0,0,0,2023-09-22
62,1698096,14,blackberry pleasure,2.95,109,666.0,ecological,2020,cake,1,0,0,0,0,0,0,0,2023-09-22
63,1697478,93,hazelnut boost,1.6,92,666.0,ecological,2008,cake,0,0,1,0,0,0,0,0,2023-09-22
64,1697472,89,enticing confidant,3.2,112,166.5,ecological,2015,cake,0,0,0,1,0,0,0,0,2023-09-22
65,1696776,68,velvety flavor,2.93,76,356.53200000000004,ecological,2019,cake,0,0,0,1,0,0,0,0,2023-09-22
66,1694664,72,blissful secret,1.95,105,1287.6,local or ecological,2020,candy,0,1,0,0,0,0,0,0,2023-09-22
67,1695564,94,cherry star,4.15,113,1337.5500000000002,ecological,1937,doughnut,0,0,0,1,0,0,0,0,2023-09-22
